id_empresa,cnpj,nome,email,telefone,cidade,uf

0,43802712000134,3Com Corp,3com.corp@gmail.com,2534753896,Nova Iguacu,RJ

1,23519659000147,3M Company,3m.company@gmail.com,2835973026,Aracruz,ES

2,80605551000142,AG Edwards Inc,ag.edwards@outlook.com,1839933272,Osasco,SP

3,38139411000198,Abbott Laboratories,abbott.laboratories@outlook.com,2038143828,Guarapari,ES

4,78589851000199,Abercrombie & Fitch Co,abercrombie.&@yahoo.com,2037333739,Vitoria,ES

5,82750630000143,ABM Industries Incorporated,abm.industries@outlook.com,2039153860,Rio de Janeiro,RJ

6,49157275000172,Ace Hardware Corporation,ace.hardware@aol.com,2636123804,Sao Paulo,SP

7,29052085000152,ACT Manufacturing Inc,act.manufacturing@gmail.com,2632973048,Montes Claros,MG

8,94867653000121,Acterna Corp,acterna.corp@gmail.com,1838473159,Montes Claros,MG

9,77329114000190,Adams Resources & Energy Inc,adams.resources@aol.com,2531043109,Campos dos Goytacazes,RJ

10,25994783000189,Baker Hughes Incorporated,baker.hughes@gmail.com,2338913080,Campinas,SP

11,61739379000125,Bank of America Corporation,bank.of@aol.com,2537063496,Linhares,ES

12,96432692000170,The Bank of New York Company Inc,the.bank@aol.com,2332083983,Ribeirao das Neves,MG

13,14468563000179,Bank One Corporation,bank.one@gmail.com,2330233473,Uberlandia,MG

14,68301316000198,Banknorth Group Inc,banknorth.group@yahoo.com,1933093494,Chapeco,SC

15,29753662000117,Banta Corporation,banta.corporation@outlook.com,2039933149,Palhoca,SC

16,31739099000197,Barnes & Noble Inc,barnes.&@aol.com,1933683359,Uberaba,MG

17,59199647000145,Bausch & Lomb Incorporated,bausch.&@yahoo.com,2437273793,Belford Roxo,RJ

18,84481847000131,Baxter International Inc,baxter.international@yahoo.com,2937403623,Guarapari,ES

19,89458798000152,C H Robinson Worldwide Inc,c.h@aol.com,2535113578,Sorocaba,SP

20,38239885000173,Cablevision Systems Corp,cablevision.systems@gmail.com,2032103336,Uberaba,MG

21,16485032000186,Cabot Corp,cabot.corp@aol.com,2837183169,Niteroi,RJ

22,27297439000175,Cadence Design Systems Inc,cadence.design@yahoo.com,2535093597,Uberlandia,MG

23,91494297000144,Calpine Corp,calpine.corp@gmail.com,2339423258,Ribeirao das Neves,MG

24,54598884000141,Campbell Soup Co,campbell.soup@aol.com,2230443034,Jaragua do Sul,SC

25,28016633000193,Capital One Financial Corp,capital.one@aol.com,2434533193,Guarulhos,SP

26,21426024000193,Cardinal Health Inc,cardinal.health@gmail.com,2839683179,Linhares,ES

27,54230075000196,Caremark Rx Inc,caremark.rx@outlook.com,2936583381,Joinville,SC

28,29093310000175,Carlisle Cos Inc,carlisle.cos@outlook.com,2034833275,Jaragua do Sul,SC

29,61222764000116,D&K Healthcare Resources Inc,d&k.healthcare@outlook.com,1934993728,Vila Velha,ES

30,19469042000125,DR Horton Inc,dr.horton@gmail.com,2030503960,Campos dos Goytacazes,RJ

31,16375592000168,Dana Corporation,dana.corporation@outlook.com,2035113582,Criciuma,SC

32,79283393000165,Danaher Corporation,danaher.corporation@gmail.com,2033963303,Sao Jose,SC

33,77184544000170,Darden Restaurants Inc,darden.restaurants@yahoo.com,2538273394,Sao Goncalo,RJ

34,35773428000116,DaVita Inc,davita.inc@outlook.com,2233993122,Sao Paulo,SP

35,72697192000140,Dean Foods Company,dean.foods@aol.com,2336753287,Sao Goncalo,RJ

36,50989369000152,Deere & Company,deere.&@outlook.com,1936473910,Florianopolis,SC

37,45470624000131,Del Monte Foods Co,del.monte@yahoo.com,2838893907,Belford Roxo,RJ

38,40774767000146,Dell Computer Corporation,dell.computer@yahoo.com,2335713062,Campos dos Goytacazes,RJ

39,23278365000196,EW Scripps Company,ew.scripps@aol.com,1836003631,Serra,ES

40,90765269000140,Earthlink Inc,earthlink.inc@yahoo.com,2030773265,Sao Jose,SC

41,43212326000180,Eastman Chemical Company,eastman.chemical@gmail.com,2331653754,Criciuma,SC

42,67192300000131,Eastman Kodak Company,eastman.kodak@yahoo.com,2934203909,Sao Jose dos Campos,SP

43,65377343000154,Eaton Corporation,eaton.corporation@aol.com,2732863918,Palhoca,SC

44,61434906000110,Echostar Communications Corporation,echostar.communications@gmail.com,2931053955,Niteroi,RJ

45,37372605000160,Ecolab Inc,ecolab.inc@outlook.com,2736913269,Cachoeiro de Itapemirim,ES

46,75820462000137,Edison International,edison.international@yahoo.com,2930243705,Rio de Janeiro,RJ

47,27823504000154,EGL Inc,egl.inc@gmail.com,2837053312,Juiz de Fora,MG

48,34908121000153,El Paso Corporation,el.paso@yahoo.com,2030033941,Colatina,ES

49,95204713000130,Electronic Data Systems Corp,electronic.data@outlook.com,2533013033,Cariacica,ES

